iter	RMSE
0	90.20448843
1	84.01173348
2	78.57169816
3	73.75657274
4	69.50711043
5	65.7146609
6	62.41224733
7	59.36794164
8	56.92043487
9	54.72218843
10	52.70898037
11	51.02854781
12	49.45206066
13	48.15318395
14	46.86831997
15	45.74061714
16	44.866193
17	44.07130041
18	43.2744655
19	42.57953656
20	41.96341065
21	41.47932678
22	40.92181163
23	40.5466426
24	40.11381483
25	39.75540867
26	39.41464167
27	39.20855615
28	38.92388323
29	38.6725418
30	38.37767933
31	38.1936331
32	37.9956494
33	37.85131181
34	37.60655471
35	37.36525716
36	37.23008132
37	36.94539521
38	36.73729219
39	36.57624449
40	36.39730578
41	36.29184963
42	36.13940616
43	35.98146915
44	35.8428108
45	35.64752351
46	35.46248767
47	35.32390197
48	35.15953232
49	35.05800824
50	34.94355119
51	34.83860706
52	34.77206525
53	34.67100531
54	34.57499464
55	34.49839498
56	34.40463146
57	34.30455452
58	34.18702588
59	34.04909886
60	33.92897282
61	33.84206144
62	33.77609745
63	33.6863085
64	33.59660198
65	33.50795464
66	33.50647433
67	33.40927613
68	33.24899161
69	33.17049433
70	33.06576556
71	32.93010788
72	32.828208
73	32.77582156
74	32.77120589
75	32.72516643
76	32.55614996
77	32.4576724
78	32.38856143
79	32.24877862
80	32.19397988
81	32.10654187
82	32.03441884
83	31.94185417
84	31.86619495
85	31.82279368
86	31.72334351
87	31.65915824
88	31.56633508
89	31.5013062
90	31.34306911
91	31.26672709
92	31.19424485
93	31.14786846
94	31.10321937
95	31.00613066
96	30.94966855
97	30.86737965
98	30.810862
99	30.77690781
100	30.75109258
101	30.69870874
102	30.64606932
103	30.60271215
104	30.52449109
105	30.43685804
106	30.39116855
107	30.34229985
108	30.26811263
109	30.16980732
110	30.11616557
111	30.06455768
112	29.99799777
113	29.88150607
114	29.7953964
115	29.74228025
116	29.686754
117	29.62604642
118	29.52480631
119	29.45398718
120	29.36937982
121	29.30805159
122	29.27029219
123	29.21769921
124	29.14064083
125	29.08581285
126	29.02508378
127	28.9461518
128	28.86688509
129	28.78795559
130	28.74317445
131	28.70048874
132	28.65648803
133	28.60322412
134	28.54670587
135	28.49069141
136	28.45933583
137	28.4292971
138	28.38876789
139	28.32623757
140	28.24579359
141	28.19717181
142	28.14150929
143	28.10442599
144	28.06450336
145	28.02285295
146	27.96041076
147	27.92121341
148	27.87114325
149	27.82882045
150	27.79904728
151	27.7664586
152	27.73037011
153	27.65087063
154	27.61406947
155	27.54395589
156	27.49584751
157	27.42259148
158	27.37336631
159	27.35528104
160	27.31254396
161	27.21447904
162	27.18006667
163	27.09539042
164	27.06252484
165	27.02706065
166	26.99445019
167	26.93458952
168	26.89085532
169	26.8453679
170	26.84055043
171	26.77126234
172	26.76956751
173	26.69464296
174	26.65076334
175	26.61989298
176	26.57218649
177	26.51434365
178	26.48292666
179	26.44282493
180	26.41508349
181	26.39191898
182	26.3828424
183	26.31915963
184	26.28514735
185	26.24380889
186	26.2082817
187	26.15664914
188	26.12818011
189	26.08827219
190	26.06062135
191	26.05422415
192	25.99659869
193	25.96652765
194	25.91811466
195	25.90165609
196	25.84684734
197	25.80433201
198	25.7772727
199	25.7515767
200	25.71617886
201	25.66441617
202	25.63024711
203	25.60214462
204	25.56381512
205	25.5047214
206	25.42671601
207	25.37433578
208	25.31139825
209	25.28561368
210	25.24915432
211	25.21482249
212	25.19090358
213	25.14865976
214	25.11629895
215	25.08838354
216	25.04661978
217	24.9993159
218	24.97277856
219	24.93613659
220	24.90315578
221	24.87164594
222	24.832443
223	24.79069717
224	24.7543642
225	24.71199985
226	24.68638204
227	24.64601517
228	24.59580264
229	24.55697968
230	24.50690537
231	24.48192969
232	24.44976381
233	24.41024191
234	24.36056966
235	24.30834617
236	24.28796157
237	24.26082615
238	24.22325047
239	24.1955057
240	24.16521875
241	24.14176811
242	24.12034527
243	24.0891866
244	24.05662399
245	24.01171172
246	23.97845163
247	23.95873672
248	23.93458689
249	23.90679887
250	23.88618662
251	23.86016181
252	23.81601285
253	23.8000985
254	23.73494745
255	23.68076441
256	23.67821996
257	23.65842559
258	23.61782935
259	23.58972483
260	23.56452551
261	23.53688173
262	23.51048027
263	23.48704176
264	23.44665518
265	23.39878987
266	23.3759594
267	23.35237922
268	23.31388098
269	23.29038375
270	23.26792834
271	23.23748867
272	23.21290606
273	23.1648931
274	23.14917106
275	23.10502291
276	23.07675149
277	23.03969958
278	23.01074915
279	22.98898618
280	22.96162757
281	22.93695893
282	22.88407588
283	22.86016046
284	22.84321598
285	22.82501891
286	22.80556041
287	22.75961725
288	22.70873726
289	22.67118044
290	22.65060379
291	22.6228896
292	22.60562488
293	22.58521434
294	22.56808766
295	22.55467141
296	22.53025867
297	22.51167804
298	22.48673381
299	22.46682264
300	22.43254379
301	22.41013896
302	22.39916133
303	22.3811869
304	22.35190573
305	22.31389054
306	22.27344302
307	22.24602698
308	22.23014376
309	22.20550362
310	22.18483696
311	22.16320445
312	22.1387809
313	22.13080479
314	22.11040474
315	22.08860119
316	22.05458601
317	22.02710408
318	21.98734487
319	21.96492479
320	21.94381997
321	21.9218597
322	21.90205537
323	21.87576581
324	21.84104622
325	21.81830874
326	21.79833778
327	21.7659771
328	21.73451549
329	21.71426063
330	21.68932965
331	21.66005992
332	21.64180034
333	21.6256458
334	21.59194964
335	21.58208833
336	21.55547662
337	21.5342652
338	21.52154022
339	21.50364177
340	21.4655999
341	21.44632878
342	21.42045942
343	21.40497232
344	21.37280322
345	21.34478669
346	21.33152655
347	21.31481652
348	21.29311485
349	21.27689454
