iter	Passed	Remaining
0	302	272235
1	582	261524
2	860	257235
3	1145	256495
4	1500	268676
5	1793	267284
6	2083	265817
7	2374	264748
8	2663	263699
9	2948	262393
10	3219	260195
11	3522	260633
12	3813	260183
13	4134	261641
14	4449	262537
15	4722	260895
16	5020	260761
17	5301	259760
18	5588	259148
19	5862	257964
20	6138	256919
21	6421	256272
22	6720	256254
23	6985	254960
24	7265	254275
25	7552	253883
26	7825	253010
27	8094	252072
28	8372	251467
29	8672	251492
30	8951	250925
31	9222	250152
32	9516	250011
33	9825	250252
34	10101	249658
35	10375	249015
36	10651	248436
37	10952	248443
38	11237	248096
39	11506	247389
40	11786	246946
41	12083	246847
42	12364	246425
43	12635	245823
44	12933	245731
45	13221	245469
46	13542	245787
47	13805	245046
48	14099	244877
49	14372	244335
50	14644	243791
51	14931	243505
52	15265	243963
53	15550	243628
54	15824	243117
55	16097	242609
56	16392	242441
57	16669	241995
58	16941	241493
59	17217	241043
60	17519	240961
61	17807	240682
62	18088	240316
63	18368	239941
64	18677	239935
65	18955	239533
66	19235	239148
67	19533	238995
68	19816	238653
69	20100	238336
70	20412	238337
71	20737	238475
72	21023	238174
73	21311	237880
74	21599	237590
75	21878	237209
76	22161	236871
77	22450	236589
78	22742	236345
79	23009	235847
80	23289	235483
81	23555	234985
82	23828	234554
83	24088	233999
84	24366	233630
85	24641	233235
86	24938	233044
87	25213	232653
88	25488	232261
89	25766	231899
90	26087	231922
91	26379	231682
92	26654	231295
93	26955	231126
94	27234	230775
95	27506	230369
96	27783	230005
97	28072	229734
98	28391	229713
99	28663	229306
100	28943	228967
101	29247	228817
102	29522	228441
103	29788	227999
104	30064	227629
105	30362	227430
106	30634	227036
107	30895	226568
108	31186	226318
109	31515	226337
110	31797	226023
111	32069	225635
112	32339	225232
113	32632	224994
114	32905	224618
115	33165	224151
116	33444	223818
117	33749	223660
118	34030	223340
119	34302	222963
120	34578	222616
121	34867	222353
122	35138	221975
123	35417	221641
124	35685	221248
125	35990	221085
126	36270	220766
127	36558	220494
128	36885	220455
129	37175	220195
130	37450	219841
131	37716	219438
132	38010	219203
133	38297	218922
134	38576	218599
135	38852	218260
136	39160	218097
137	39452	217843
138	39732	217529
139	40029	217304
140	40326	217074
141	40617	216815
142	40905	216539
143	41213	216373
144	41512	216151
145	41797	215857
146	42093	215620
147	42422	215552
148	42711	215278
149	42995	214977
150	43310	214832
151	43589	214506
152	43872	214199
153	44151	213874
154	44444	213619
155	44703	213199
156	44977	212853
157	45269	212593
158	45566	212356
159	45841	212017
160	46119	211693
161	46395	211355
162	46683	211077
163	46937	210645
164	47216	210329
165	47495	210012
166	47812	209861
167	48095	209557
168	48383	209281
169	48679	209037
170	48953	208694
171	49228	208361
172	49505	208037
173	49808	207820
174	50088	207508
175	50372	207215
176	50664	206950
177	50965	206724
